date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:28:08	215078/215078	---MCZ	200	added ('OK')	text/html	etag:W/%22836ed8485d85956d4ee99c7d4ca9285b%22	https://frame.io/case-studies/sandwich	/Users/dhruv/websites/Speak%20Savvy/frame.io/case-studies/sandwich.html	(from https://frame.io/customers)
18:28:09	207348/207348	---MCZ	200	added ('OK')	text/html	etag:W/%22110cb22e73e90c54e246716046dd45e1%22	https://frame.io/case-studies/elastique-bmw	/Users/dhruv/websites/Speak%20Savvy/frame.io/case-studies/elastique-bmw.html	(from https://frame.io/customers)
18:28:10	209008/209008	---MCZ	200	added ('OK')	text/html	etag:W/%22d18dcd39f8eee41f348e0ca177619a8b%22	https://frame.io/case-studies/devotion	/Users/dhruv/websites/Speak%20Savvy/frame.io/case-studies/devotion.html	(from https://frame.io/customers)
18:28:11	222440/222440	---MCZ	200	added ('OK')	text/html	etag:W/%2299ee4aefbea45ab4e42e0491d18f995c%22	https://frame.io/case-studies/ford	/Users/dhruv/websites/Speak%20Savvy/frame.io/case-studies/ford.html	(from https://frame.io/customers)
18:28:12	202463/202463	---MCZ	200	added ('OK')	text/html	etag:W/%225f7dc8bec5833d3870dbb99e442ac7ba%22	https://frame.io/case-studies/north-face	/Users/dhruv/websites/Speak%20Savvy/frame.io/case-studies/north-face.html	(from https://frame.io/customers)
18:28:13	203021/203021	---MCZ	200	added ('OK')	text/html	etag:W/%2213d0a3bc78a910bed517c8b46bca8439%22	https://frame.io/case-studies/vice-speaker-session	/Users/dhruv/websites/Speak%20Savvy/frame.io/case-studies/vice-speaker-session.html	(from https://frame.io/customers)
18:28:14	229189/229189	---MCZ	200	added ('OK')	text/html	etag:W/%22d5f1dc10f874f36d809ca291947cb7da%22	https://frame.io/case-studies/the-green-knight	/Users/dhruv/websites/Speak%20Savvy/frame.io/case-studies/the-green-knight.html	(from https://frame.io/customers)
18:28:15	200116/200116	---MCZ	200	added ('OK')	text/html	etag:W/%22f0c00b1d91237403fe694bf48a1646d9%22	https://frame.io/case-studies/yeti	/Users/dhruv/websites/Speak%20Savvy/frame.io/case-studies/yeti.html	(from https://frame.io/customers)
18:28:16	115353/115353	---MCZ	200	added ('OK')	text/html	etag:W/%22391feaa7bb7dbd890fc4f36f2caf3bb9%22	https://frame.io/live/the-ultimate-frameio-admin-guide/register	/Users/dhruv/websites/Speak%20Savvy/frame.io/live/the-ultimate-frameio-admin-guide/register.html	(from https://frame.io/live)
18:28:17	119363/119363	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22b62a04f80f70e23be74c8e5ec9e5f023%22	https://frame.io/gration?affiliates=66f041e16a60928b05a7e228a89c3799	/Users/dhruv/websites/Speak%20Savvy/frame.io/gration8234	(from https://frame.io/gration/?affiliates=66f041e16a60928b05a7e228a89c3799)
18:28:17	116623/116623	---MCZ	200	added ('OK')	text/html	etag:W/%2239d17fad09097e9fd69b2874341d9b57%22	https://frame.io/copyright	/Users/dhruv/websites/Speak%20Savvy/frame.io/copyright.html	(from https://frame.io/terms)
18:28:19	104/104	---M--	200	added ('OK')	text/css	etag:%222fa497e3a22877b5bc9f181068c181ca%22	https://frame.io/_next/static/css/cb866dc0478ad997.css	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/css/cb866dc0478ad997.css	(from https://frame.io/live/the-ultimate-frameio-admin-guide/register)
18:28:20	6904/6904	---MCZ	200	added ('OK')	text/css	etag:W/%22d482f9dafbc9535d2524d1eb5a64eb09%22	https://frame.io/_next/static/css/96b72660d687c429.css	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/css/96b72660d687c429.css	(from https://frame.io/live/the-ultimate-frameio-admin-guide/register)
18:28:21	199658/199658	---MCZ	200	added ('OK')	text/html	etag:W/%22da6b8892892ff5f7afae92171b04d536%22	https://frame.io/case-studies/malka	/Users/dhruv/websites/Speak%20Savvy/frame.io/case-studies/malka.html	(from https://frame.io/case-studies/vice-speaker-session)
18:28:21	3871/3871	---MCZ	200	added ('OK')	application/javascript	etag:W/%2203fb69f0e03636017ef40f035240b90d%22	https://frame.io/_next/static/chunks/app/live/%5Bevent%5D/layout-aee77aa3c6962d49.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/app/live/[event]/layout-aee77aa3c6962d49.js	(from https://frame.io/live/the-ultimate-frameio-admin-guide/register)
18:28:22	4050/4050	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f0b545f520622cca7fef32bcaf96ea02%22	https://frame.io/_next/static/chunks/app/not-found-7e656474afbf9a79.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/app/not-found-7e656474afbf9a79.js	(from https://frame.io/live/the-ultimate-frameio-admin-guide/register)
18:28:23	2496/2496	---MCZ	200	added ('OK')	application/javascript	etag:W/%227a81cc1bf98e7a72952272b0eaf86425%22	https://frame.io/_next/static/chunks/app/live/%5Bevent%5D/register/layout-d5d513a9e1a66a27.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/app/live/[event]/register/layout-d5d513a9e1a66a27.js	(from https://frame.io/live/the-ultimate-frameio-admin-guide/register)
18:28:24	9691/9691	---MCZ	200	added ('OK')	application/javascript	etag:W/%220541e9b8b3a9336004ce1ce535676411%22	https://frame.io/_next/static/chunks/app/live/%5Bevent%5D/register/page-b1e3db1cd6651087.js	/Users/dhruv/websites/Speak%20Savvy/frame.io/_next/static/chunks/app/live/[event]/register/page-b1e3db1cd6651087.js	(from https://frame.io/live/the-ultimate-frameio-admin-guide/register)
